"Symbol","Description","Percentage Above 52 Week Low","Market Capitalization"
"TEX","Terex Corp","1.05%","$3B (Small)"
"TFX","Teleflex Inc","3.77%","$8B (Mid)"
"THLLY","Thales SA","1.71%","$29B (Mid)"
"THRM","Gentherm Inc","1.07%","$1B (Micro)"
"TIMB","Tim SA","4.00%","$6B (Small)"
"TKR","Timken Co","2.04%","$5B (Small)"
"TLK","Telkom Indonesia (Persero) Tbk PT","2.12%","$16B (Mid)"
"TMC","TMC the metals company Inc","2.64%","$255M (Micro)"
"TMDX","Transmedics Group Inc","3.31%","$2B (Micro)"
"TNC","Tennant Co","0.72%","$2B (Micro)"
"TNK","Teekay Tankers Ltd","4.08%","$1B (Micro)"
"TRC","Tejon Ranch Co","4.25%","$411M (Micro)"
"TROX","Tronox Holdings PLC","2.95%","$2B (Micro)"
"TSQ","Townsquare Media Inc","2.48%","$146M (Micro)"
"TTE","TotalEnergies SE","1.61%","$123B (Large)"
"TU","Telus Corp","1.91%","$21B (Mid)"
"TV","Grupo Televisa SAB","4.73%","$1B (Micro)"
"TX","Ternium SA","1.01%","$6B (Small)"
"TXT","Textron Inc","1.98%","$14B (Mid)"
"UFI","Unifi Inc","2.03%","$101M (Micro)"
"UHG","United Homes Group Inc","4.24%","$202M (Micro)"
"UMC","United Microelectronics Corp","3.49%","$16B (Mid)"
"UNP","Union Pacific Corp","3.56%","$137B (Large)"
"UPS","United Parcel Service Inc","3.01%","$107B (Large)"
"URGN","Urogen Pharma Ltd","1.24%","$449M (Micro)"
"USAC","USA Compression Partners LP","2.28%","$3B (Small)"
"USNA","USANA Health Sciences Inc","0.32%","$636M (Micro)"
"UTMD","Utah Medical Products Inc","0.46%","$207M (Micro)"
"VAL","Valaris Ltd","2.00%","$3B (Small)"
"VALE","Vale SA","2.42%","$38B (Mid)"
"VC","Visteon Corp","2.02%","$2B (Small)"
"VENU","Venu Holding Corp","2.97%","$336M (Micro)"
"VEOEY","Veolia Environnement SA","1.60%","$20B (Mid)"
"VIV","Telefonica Brasil SA","4.96%","$13B (Mid)"
"VLO","Valero Energy Corp","1.24%","$38B (Mid)"
"VOD","Vodafone Group PLC","4.61%","$21B (Mid)"
"VTEX","VTEX","0.35%","$1B (Micro)"
"WBHC","Wilson Bank Holding Co","0.00%","$487M (Micro)"
"WDS","Woodside Energy Group Ltd","3.28%","$28B (Mid)"
"WEX","WEX Inc","2.34%","$7B (Small)"
"WFRD","Weatherford International PLC","1.31%","$5B (Small)"
"WGO","Winnebago Industries Inc","0.60%","$1B (Micro)"
"WHF","WhiteHorse Finance Inc","0.00%","$231M (Micro)"
"WLK","Westlake Corp","0.53%","$15B (Mid)"
"WMS","Advanced Drainage Systems Inc","0.97%","$9B (Mid)"
"WPC","WP Carey Inc","2.18%","$12B (Mid)"
"WRD","WeRide Inc","4.27%","$4B (Small)"
"WSC","Willscot Holdings Corp","3.10%","$6B (Small)"
"WU","Western Union Co","1.95%","$4B (Small)"
"WY","Weyerhaeuser Co","2.88%","$20B (Mid)"
"XP","XP Inc","4.28%","$7B (Small)"
"XRX","Xerox Holdings Corp","4.61%","$1B (Micro)"
"YDVL","YVC Holdings Inc","1.43%","$142M (Micro)"
"YORW","York Water Co","0.63%","$481M (Micro)"
"YUMM","Yummies Inc","0.00%","$337M (Micro)"
"YZCAY","Yankuang Energy Group Co Ltd","2.59%","$5B (Small)"
"ZEUS","Olympic Steel Inc","4.90%","$376M (Micro)"
"ZIMV","ZimVie Inc","4.53%","$375M (Micro)"
"ZIP","Ziprecruiter Inc","0.69%","$697M (Micro)"
